"","UF","ano","rend","name"
"130","RO","1980/81","344","producao"
"131","RR","1980/81","45.5","producao"
"132","SC","1980/81","4173.8000000000002","producao"
"133","SP","1980/81","5502.5","producao"
"134","SE","1980/81","87.5","producao"
"135","TO","1980/81","0","producao"
"136","AC","1981/82","60.399999999999999","producao"
"137","AL","1981/82","191","producao"
"138","AP","1981/82","3.008","producao"
"139","AM","1981/82","14.5","producao"
"140","BA","1981/82","612.79999999999995","producao"
"141","CE","1981/82","562.89999999999998","producao"
"142","DF","1981/82","54.270000000000003","producao"
"143","ES","1981/82","357.30000000000001","producao"
"144","GO","1981/82","3886.4000000000001","producao"
"145","MA","1981/82","1669.0999999999999","producao"
"146","MT","1981/82","1640.8","producao"
"147","MS","1981/82","2232.4000000000001","producao"
"148","MG","1981/82","4674.1000000000004","producao"
"149","PA","1981/82","329.89999999999998","producao"
"150","PB","1981/82","146.19999999999999","producao"
"151","PR","1981/82","12326.1","producao"
"152","PE","1981/82","267.60000000000002","producao"
"153","PI","1981/82","395.69999999999999","producao"
"154","RJ","1981/82","178.09999999999999","producao"
"155","RN","1981/82","98.099999999999994","producao"
"156","RS","1981/82","10853.799999999999","producao"
"157","RO","1981/82","370.60000000000002","producao"
"158","RR","1981/82","34.899999999999999","producao"
"159","SC","1981/82","3684.5999999999999","producao"
"160","SP","1981/82","6053.1999999999998","producao"
"161","SE","1981/82","163.30000000000001","producao"
"162","TO","1981/82","0","producao"
"163","AC","1982/83","47","producao"
"164","AL","1982/83","43.600000000000001","producao"
"165","AP","1982/83","2.8639999999999999","producao"
"166","AM","1982/83","7.2000000000000002","producao"
"167","BA","1982/83","447.80000000000001","producao"
"168","CE","1982/83","156.30000000000001","producao"
"169","DF","1982/83","66.400000000000006","producao"
"170","ES","1982/83","279.10000000000002","producao"
"171","GO","1982/83","3752.6999999999998","producao"
"172","MA","1982/83","619.79999999999995","producao"
"173","MT","1982/83","1856.7","producao"
"174","MS","1982/83","2676.4000000000001","producao"
"175","MG","1982/83","4246.1999999999998","producao"
"176","PA","1982/83","210.80000000000001","producao"
"177","PB","1982/83","79.799999999999997","producao"
"178","PR","1982/83","11925.200000000001","producao"
"179","PE","1982/83","72.900000000000006","producao"
"180","PI","1982/83","121.7","producao"
"181","RJ","1982/83","179.09999999999999","producao"
"182","RN","1982/83","27.100000000000001","producao"
"183","RS","1982/83","12086.5","producao"
"184","RO","1982/83","235.40000000000001","producao"
"185","RR","1982/83","7.4000000000000004","producao"
"186","SC","1982/83","2619.8000000000002","producao"
"187","SP","1982/83","5855.1000000000004","producao"
"188","SE","1982/83","31.699999999999999","producao"
"189","TO","1982/83","0","producao"
"190","AC","1983/84","64.200000000000003","producao"
"191","AL","1983/84","152.09999999999999","producao"
"192","AP","1983/84","2.2010000000000001","producao"
"193","AM","1983/84","4.0999999999999996","producao"
"194","BA","1983/84","439.39999999999998","producao"
"195","CE","1983/84","714.5","producao"
"196","DF","1983/84","75.200000000000003","producao"
"197","ES","1983/84","348.89999999999998","producao"
"198","GO","1983/84","3510.6999999999998","producao"
"199","MA","1983/84","1432.7","producao"
"200","MT","1983/84","1981.9000000000001","producao"
"201","MS","1983/84","2742.3000000000002","producao"
"202","MG","1983/84","3986.4000000000001","producao"
"203","PA","1983/84","321.30000000000001","producao"
"204","PB","1983/84","410.60000000000002","producao"
"205","PR","1983/84","11986.5","producao"
"206","PE","1983/84","476.60000000000002","producao"
"207","PI","1983/84","468.89999999999998","producao"
"208","RJ","1983/84","179.90000000000001","producao"
"209","RN","1983/84","239.80000000000001","producao"
"210","RS","1983/84","13166.6","producao"
"211","RO","1983/84","391.19999999999999","producao"
"212","RR","1983/84","11.800000000000001","producao"
"213","SC","1983/84","4013.9000000000001","producao"
"214","SP","1983/84","5193.6999999999998","producao"
"215","SE","1983/84","115.59999999999999","producao"
"216","TO","1983/84","0","producao"
"217","AC","1984/85","58.100000000000001","producao"
"218","AL","1984/85","139.40000000000001","producao"
"219","AP","1984/85","2.399","producao"
"220","AM","1984/85","6.0999999999999996","producao"
"221","BA","1984/85","1184.2","producao"
"222","CE","1984/85","472.60000000000002","producao"
"223","DF","1984/85","108.3","producao"
"224","ES","1984/85","366.89999999999998","producao"
"225","GO","1984/85","4148.8999999999996","producao"
"226","MA","1984/85","773","producao"
"227","MT","1984/85","2641.5999999999999","producao"
"228","MS","1984/85","3636.5","producao"
"229","MG","1984/85","5058.3999999999996","producao"
"230","PA","1984/85","291.5","producao"
"231","PB","1984/85","325","producao"
"232","PR","1984/85","14408.4","producao"
"233","PE","1984/85","371.69999999999999","producao"
"234","PI","1984/85","481.5","producao"
"235","RJ","1984/85","181.30000000000001","producao"
"236","RN","1984/85","138.80000000000001","producao"
"237","RS","1984/85","13335.1","producao"
"238","RO","1984/85","310.89999999999998","producao"
"239","RR","1984/85","13.300000000000001","producao"
"240","SC","1984/85","3734.0999999999999","producao"
"241","SP","1984/85","5836.1000000000004","producao"
"242","SE","1984/85","119.2","producao"
"243","TO","1984/85","0","producao"
"244","AC","1985/86","72.900000000000006","producao"
"245","AL","1985/86","212.09999999999999","producao"
"246","AP","1985/86","1.274","producao"
"247","AM","1985/86","7.9000000000000004","producao"
"248","BA","1985/86","1216.7","producao"
"249","CE","1985/86","540.89999999999998","producao"
"250","DF","1985/86","114.2","producao"
"251","ES","1985/86","394.39999999999998","producao"
"252","GO","1985/86","4824","producao"
"253","MA","1985/86","1386.3","producao"
"254","MT","1985/86","3259.3000000000002","producao"
"255","MS","1985/86","3084.6999999999998","producao"
"256","MG","1985/86","5372.6000000000004","producao"
"257","PA","1985/86","336","producao"
"258","PB","1985/86","353.5","producao"
"259","PR","1985/86","10825.799999999999","producao"
"260","PE","1985/86","414.19999999999999","producao"
"261","PI","1985/86","842.10000000000002","producao"
"262","RJ","1985/86","200.80000000000001","producao"
"263","RN","1985/86","179.40000000000001","producao"
"264","RS","1985/86","10461.5","producao"
"265","RO","1985/86","405.89999999999998","producao"
"266","RR","1985/86","18","producao"
"267","SC","1985/86","3286.8000000000002","producao"
"268","SP","1985/86","5940.8999999999996","producao"
"269","SE","1985/86","173","producao"
"270","TO","1985/86","0","producao"
"271","AC","1986/87","80.099999999999994","producao"
"272","AL","1986/87","134.40000000000001","producao"
"273","AP","1986/87","0.96100000000000008","producao"
"274","AM","1986/87","7.5","producao"
"275","BA","1986/87","621.10000000000002","producao"
"276","CE","1986/87","281.19999999999999","producao"
"277","DF","1986/87","155.5","producao"
"278","ES","1986/87","420.30000000000001","producao"
"279","GO","1986/87","5789.6000000000004","producao"
"280","MA","1986/87","848.29999999999995","producao"
"281","MT","1986/87","4123.3999999999996","producao"
"282","MS","1986/87","4123.6999999999998","producao"
"283","MG","1986/87","5433.1000000000004","producao"
"284","PA","1986/87","379.30000000000001","producao"
"285","PB","1986/87","141.69999999999999","producao"
